City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Ewa Beach,US,2021-10-20 02:33:08,21.3156,-158.0072,82.35,48,20,13.0
220,Lipin Bor,RU,2021-10-20 02:33:08,60.2622,37.9763,31.05,89,69,5.35
221,Soyo,AO,2021-10-20 02:33:09,-6.1349,12.3689,75.72,83,98,6.96
222,Komsomolskiy,UZ,2021-10-20 02:33:09,40.4272,71.7189,49.42,53,19,6.91
223,Lompoc,US,2021-10-20 02:32:28,34.6391,-120.4579,59.56,81,1,0.0
224,Tadine,NC,2021-10-20 02:33:10,-21.55,167.8833,73.92,89,100,9.82
225,Butaritari,KI,2021-10-20 02:33:10,3.0707,172.7902,82.94,66,2,8.5
226,Alexandria,EG,2021-10-20 02:29:06,31.2156,29.9553,71.56,60,40,9.22
227,Dudinka,RU,2021-10-20 02:33:11,69.4058,86.1778,32.52,98,100,17.2
228,Mugla,TR,2021-10-20 02:33:11,37.2303,28.3557,50.67,71,0,4.88
229,Samagaltay,RU,2021-10-20 02:33:11,50.6022,95.0047,38.93,37,26,3.8
230,Tenenkou,ML,2021-10-20 02:33:12,14.4572,-4.9169,80.6,66,100,7.78
231,Lincoln,US,2021-10-20 02:33:12,40.8,-96.667,70.18,62,1,5.99
232,Ningxiang,CN,2021-10-20 02:33:13,37.34,111.2052,45.61,82,100,5.37
233,Sao Felix Do Xingu,BR,2021-10-20 02:33:13,-6.6447,-51.995,74.71,75,85,0.85
234,Calvinia,ZA,2021-10-20 02:33:13,-31.4707,19.776,58.82,10,64,9.95
235,Fujin,CN,2021-10-20 02:33:14,47.26,132.0322,41.83,38,20,10.04
236,Iqaluit,CA,2021-10-20 02:32:56,63.7506,-68.5145,35.33,87,90,11.01
237,Smithers,CA,2021-10-20 02:30:04,54.7804,-127.1743,39.52,70,75,3.44
238,Nantucket,US,2021-10-20 02:33:14,41.2835,-70.0995,62.71,65,75,11.5
239,Shunyi,CN,2021-10-20 02:33:15,40.125,116.6453,50.29,43,0,4.47
240,Grootfontein,NA,2021-10-20 02:33:15,-19.5667,18.1167,67.57,52,90,4.61
241,Filingue,NE,2021-10-20 02:28:55,14.3521,3.3168,88.09,35,13,7.4
242,Dickson,US,2021-10-20 02:33:16,36.077,-87.3878,58.28,92,1,0.0
243,Zavetnoye,RU,2021-10-20 02:33:16,47.1194,43.8903,37.04,74,5,10.29
244,Wajima,JP,2021-10-20 02:33:17,37.4,136.9,56.08,76,75,8.05
245,Gizo,SB,2021-10-20 02:33:17,-8.103,156.8419,83.89,70,92,1.97
246,Kodiak,US,2021-10-20 02:31:57,57.79,-152.4072,41.25,87,100,3.47
247,Beyneu,KZ,2021-10-20 02:33:18,45.3167,55.2,51.55,70,98,20.42
248,Oranjemund,NA,2021-10-20 02:33:18,-28.55,16.4333,61.52,59,99,10.02
249,Sola,VU,2021-10-20 02:33:18,-13.8833,167.55,80.62,77,99,10.65
250,Kenai,US,2021-10-20 02:33:19,60.5544,-151.2583,42.03,81,90,13.8
251,La Serena,CL,2021-10-20 02:31:46,-29.9078,-71.2542,54.91,87,90,3.44
252,Vardo,NO,2021-10-20 02:33:20,70.3705,31.1107,21.4,60,69,3.36
253,Nikolskoye,RU,2021-10-20 02:33:20,59.7035,30.7861,31.87,77,100,7.25
254,Marrakesh,MA,2021-10-20 02:30:08,31.6315,-8.0083,68.07,52,0,3.44
255,Puerto Colombia,CO,2021-10-20 02:33:20,10.9878,-74.9547,82.49,83,66,17.22
256,Povenets,RU,2021-10-20 02:33:21,62.8487,34.8262,30.2,75,98,4.68
257,Yenotayevka,RU,2021-10-20 02:33:21,47.2456,47.0281,41.77,68,10,14.23
258,Saint-Honore,CA,2021-10-20 02:33:22,48.5334,-71.0824,44.62,95,100,8.05
259,Shache,CN,2021-10-20 02:33:22,38.4167,77.2406,57.04,18,48,1.77
260,Aktau,KZ,2021-10-20 02:33:23,43.65,51.2,50.58,65,100,16.53
261,Saint George,US,2021-10-20 02:32:31,37.1041,-113.5841,61.39,37,1,1.99
262,Pangody,RU,2021-10-20 02:33:23,65.85,74.4859,36.93,83,100,20.69
263,Karasjok,NO,2021-10-20 02:33:24,69.4719,25.5112,15.91,95,100,2.57
264,Mackay,AU,2021-10-20 02:33:24,-21.15,149.2,87.78,58,40,18.41
265,Sundsvall,SE,2021-10-20 02:33:24,62.3913,17.3063,43.97,99,90,4.61
266,Ixtapa,MX,2021-10-20 02:33:25,20.7,-105.2,83.43,79,20,3.44
267,Amboasary,MG,2021-10-20 02:33:25,-25.0333,46.3833,67.84,86,99,10.22
268,Andenes,NO,2021-10-20 02:33:25,69.3143,16.1194,34.07,64,100,28.77
269,Sangar,RU,2021-10-20 02:33:26,63.9242,127.4739,16.02,92,100,13.4
270,Magnitka,RU,2021-10-20 02:33:26,55.3475,59.6961,38.03,88,100,4.5
271,Smolenka,RU,2021-10-20 02:33:27,52.1352,113.4974,37.47,56,11,2.24
272,Yar-Sale,RU,2021-10-20 02:33:15,66.8333,70.8333,33.21,97,100,16.31
273,Ongandjera,NA,2021-10-20 02:33:27,-17.8833,15.0667,66.65,26,52,11.27
274,Axim,GH,2021-10-20 02:33:27,4.8699,-2.2405,77.74,87,100,7.45
275,Aksarka,RU,2021-10-20 02:33:28,66.5606,67.7975,31.06,98,100,10.13
276,Hirara,JP,2021-10-20 02:33:28,24.8,125.2833,78.66,65,75,11.5
277,Komatipoort,ZA,2021-10-20 02:32:27,-25.4332,31.9548,61.05,74,5,1.57
278,Sassandra,CI,2021-10-20 02:33:24,4.95,-6.0833,75.43,92,100,4.72
279,Ajaccio,FR,2021-10-20 02:33:29,42.0,8.9167,51.85,81,0,6.91
280,Osoyoos,CA,2021-10-20 02:30:05,49.0331,-119.4524,59.41,44,0,4.61
281,Sao Filipe,CV,2021-10-20 02:33:29,14.8961,-24.4956,79.77,67,8,4.12
282,Lao Cai,VN,2021-10-20 02:33:30,22.4833,103.95,78.55,82,99,1.14
283,Luderitz,NA,2021-10-20 02:33:30,-26.6481,15.1594,55.4,87,35,9.64
284,Preobrazheniye,RU,2021-10-20 02:33:30,42.9019,133.9064,43.61,26,0,4.63
285,Copiapo,CL,2021-10-20 02:31:31,-27.3667,-70.3333,53.29,68,62,1.79
286,Pyaozerskiy,RU,2021-10-20 02:33:31,65.8333,31.1667,28.96,71,100,4.68
287,Sulangan,PH,2021-10-20 02:33:31,11.1373,123.7228,84.78,67,100,1.16
288,Manggar,ID,2021-10-20 02:33:32,-2.8833,108.2667,84.51,67,97,4.88
289,Pisco,PE,2021-10-20 02:33:32,-13.7,-76.2167,62.02,82,0,11.5
290,Zhifang,CN,2021-10-20 02:33:32,30.35,114.3167,53.58,91,100,11.27
291,Churapcha,RU,2021-10-20 02:33:33,62.0025,132.4325,23.7,92,100,6.67
292,Veere,NL,2021-10-20 02:33:33,51.5483,3.6667,63.0,82,100,7.0
293,Keningau,MY,2021-10-20 02:33:34,5.3378,116.1602,81.05,63,96,1.81
