City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Maturin,VE,73.69,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
644,Garowe,SO,72.39,broken clouds,8.4054,48.4845,Curubo Hotel
649,Narasannapeta,IN,71.74,clear sky,18.4167,84.05,G.lingaraju home
651,Sabinopolis,BR,68.67,overcast clouds,-18.6661,-43.0839,Hotel Pousada Jesus
653,Phuntsholing,BT,65.64,clear sky,26.8516,89.3884,Hotel White House
654,Nioro,GM,79.56,overcast clouds,13.35,-15.75,
658,Muncar,ID,77.88,scattered clouds,-8.4333,114.3333,Zaky Homestay
659,Lima,PE,66.9,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
662,Mercedes,AR,76.17,few clouds,-34.6515,-59.4307,Posada del Inti Centro
664,Boende,CD,71.76,broken clouds,-0.2167,20.8667,
666,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
670,Bardiyah,LY,70.0,broken clouds,31.7561,25.0865,بورتو بردية
671,Kalmunai,LK,78.1,moderate rain,7.4167,81.8167,VS Villa
673,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,departamento comodo
675,Naze,JP,70.72,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
678,Yarada,IN,77.32,mist,17.65,83.2667,Vishranti
679,Iracoubo,GF,77.36,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
680,Gualeguaychu,AR,76.89,clear sky,-33.0094,-58.5172,Hotel Los Angeles
682,Quijingue,BR,78.06,broken clouds,-10.7525,-39.2092,Pousada Sabor Da Terra
683,Waipawa,NZ,63.3,few clouds,-41.4122,175.5153,Tora Coastal Walk
684,Fuzhou,CN,66.09,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
