City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
169,Ocean Springs,US,30.4113,-88.8278,82.42,85,1,0.0,clear sky,2021-10-25 23:17:18
170,Sosnogorsk,RU,63.6023,53.8817,24.13,88,79,3.38,broken clouds,2021-10-25 23:17:19
171,Guiyang,CN,26.5833,106.7167,54.09,87,90,2.24,overcast clouds,2021-10-25 23:17:19
172,Burgersdorp,ZA,-30.9977,26.3286,52.88,78,9,1.88,clear sky,2021-10-25 23:17:20
173,Kaele,CM,10.1092,14.4508,82.29,52,30,6.11,scattered clouds,2021-10-25 23:17:20
174,Sur,OM,22.5667,59.5289,80.02,66,0,7.45,clear sky,2021-10-25 23:17:21
175,Ndele,CF,8.4109,20.6473,74.5,87,93,1.45,overcast clouds,2021-10-25 23:17:22
176,Sioux Lookout,CA,50.1001,-91.917,39.58,81,40,4.61,scattered clouds,2021-10-25 23:17:22
177,Gejiu,CN,23.306,103.1635,50.5,96,88,2.93,overcast clouds,2021-10-25 23:17:22
178,Mehamn,NO,71.0357,27.8492,32.65,85,86,26.06,light snow,2021-10-25 23:15:58
179,Vestmannaeyjar,IS,63.4427,-20.2734,41.7,79,100,3.65,overcast clouds,2021-10-25 23:13:20
180,Karratha,AU,-20.7377,116.8463,76.17,40,3,14.27,clear sky,2021-10-25 23:16:37
181,Svrljig,RS,43.4133,22.1211,44.22,80,0,5.64,clear sky,2021-10-25 23:17:24
182,Gagatli,RU,42.8013,46.2916,25.09,86,100,4.43,light snow,2021-10-25 23:17:24
183,Quatre Cocos,MU,-20.2078,57.7625,71.71,73,23,16.69,few clouds,2021-10-25 23:17:25
184,Kropotkin,RU,45.4375,40.5756,39.49,76,23,6.11,few clouds,2021-10-25 23:17:25
185,Mackay,AU,-21.15,149.2,80.69,65,94,9.53,overcast clouds,2021-10-25 23:11:53
186,Mariental,NA,-24.6333,17.9667,69.48,22,0,3.42,clear sky,2021-10-25 23:17:25
187,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,41,12.84,scattered clouds,2021-10-25 23:11:51
188,Oistins,BB,13.0667,-59.5333,82.49,74,40,21.85,scattered clouds,2021-10-25 23:17:26
189,Aksu,CN,41.1231,80.2644,45.27,46,6,1.19,clear sky,2021-10-25 23:13:26
190,Feijo,BR,-8.1642,-70.3536,71.31,89,99,3.33,overcast clouds,2021-10-25 23:17:27
191,Ilhabela,BR,-23.7781,-45.3581,68.07,89,98,9.73,overcast clouds,2021-10-25 23:17:27
